SampleName,Species,Type,Lat,Long,Depth,T_measured,d18Osw_measured
SK-01,Desmophyllum pertusum,cold-water coral,70.267333,22.456167,250,5.9,0.18
SK-02,Desmophyllum pertusum,cold-water coral,23.83535,-89,558,,0.17
SK-05,Desmophyllum pertusum,cold-water coral,-9.822867,12.773817,374,,
SK-06,Desmophyllum pertusum,cold-water coral,51.449,-11.752667,881,9,0.4
SK-07,Desmophyllum pertusum,cold-water coral,53.515167,-14.352667,696,,
SK-08,Madrepora oculata,cold-water coral,41.289812,17.278115,573,13.5,1.16
SK-09,Desmophyllum dianthus,cold-water coral,41.289812,17.278115,573,13.5,1.16
SK-12,Solenosmilia variabilis,cold-water coral,-42.727,179.897,1100,,
SK-LostCity,Desmophyllum pertusum,cold-water coral,30.124612,-42.119351,806.06,10.02,0.6
SK-GeoB,Desmophyllum pertusum,cold-water coral,34.999667,-7.075167,738,10.3,0.47
SK-A4,Acropora cervicornis,warm-water coral,16.957248,-88.043581,6,,1.2
SK-DS3,Pseudodiploria strigosa,warm-water coral,16.957248,-88.043581,6,,1.2
SK-A6,Acropora sp.,warm-water coral,4.268056,72.935278,1,29.3,0.52
SK-PL7,Porites lutea,warm-water coral,28.816484,48.775413,1,26,
SK-Q43,Porites lutea,warm-water coral,28.816484,48.775413,1,26,
SK-SA5,Siderastrea siderea,warm-water coral,17.387784,-87.939841,1,,1.2
SK-SV42,Solenosmilia variabilis,cold-water coral,-44.498,-174.817,1386,3.8,
