ID,dateTimeMeasured,SampleName,pCO2Ref,pCO2Sam,PCellRef,PCellSam,d17O,d18O,d18OError,Dp17O,Dp17OError,mrMismatch,measurementPeriod
14024,2022-11-19 08:50:02,lightVsRef,435.6,436.1,41.08,41.082,-0.604,-0.749,,-209.0,7.2,-0.5,2022-11-19 to 2022-12-25
14025,2022-11-19 11:20:38,lightVsRef,435.0,435.5,41.114,41.115,-0.608,-0.765,,-204.3,5.5,-0.5,2022-11-19 to 2022-12-25
14029,2022-11-19 20:24:33,lightVsRef,435.4,435.6,41.107,41.108,-0.62,-0.785,,-205.2,6.0,-0.2,2022-11-19 to 2022-12-25
14030,2022-11-19 23:07:38,lightVsRef,435.1,435.3,41.155,41.156,-0.602,-0.754,,-204.5,7.4,-0.2,2022-11-19 to 2022-12-25
14033,2022-11-20 13:21:02,lightVsRef,435.4,435.7,41.181,41.181,-0.586,-0.714,0.003,-209.0,2.3,-0.3,2022-11-19 to 2022-12-25
14041,2022-11-22 01:42:52,lightVsRef,437.0,437.0,40.941,40.942,-0.594,-0.741,,-202.9,8.0,0.0,2022-11-19 to 2022-12-25
14045,2022-11-22 23:58:50,lightVsRef,437.4,437.4,41.011,41.013,-0.579,-0.744,,-186.4,5.1,0.0,2022-11-19 to 2022-12-25
14048,2022-11-28 20:02:21,lightVsRef,435.8,435.9,41.186,41.188,-0.561,-0.694,,-194.6,10.7,-0.1,2022-11-19 to 2022-12-25
14050,2022-11-29 01:28:33,lightVsRef,434.9,435.1,41.256,41.258,-0.603,-0.745,,-209.3,3.7,-0.2,2022-11-19 to 2022-12-25
14026,2022-11-19 13:49:42,heavyVsRef,435.3,435.0,41.113,41.115,39.696,76.862,,-171.0,9.1,0.3,2022-11-19 to 2022-12-25
14027,2022-11-19 16:17:50,heavyVsRef,435.3,435.2,41.104,41.106,39.701,76.862,,-165.5,7.9,0.1,2022-11-19 to 2022-12-25
14031,2022-11-20 01:47:06,heavyVsRef,435.2,434.8,41.187,41.187,39.694,76.863,,-173.2,8.8,0.4,2022-11-19 to 2022-12-25
14032,2022-11-20 04:27:07,heavyVsRef,435.3,434.8,41.217,41.218,39.688,76.849,,-172.2,5.6,0.5,2022-11-19 to 2022-12-25
14035,2022-11-20 18:41:40,heavyVsRef,436.7,436.1,40.994,40.996,39.697,76.875,,-176.5,6.2,0.6,2022-11-19 to 2022-12-25
14042,2022-11-22 04:22:51,heavyVsRef,437.0,436.6,40.941,40.943,39.682,76.863,,-184.4,8.5,0.4,2022-11-19 to 2022-12-25
14049,2022-11-28 22:44:35,heavyVsRef,434.8,434.5,41.219,41.22,39.691,76.873,,-181.1,3.8,0.3,2022-11-19 to 2022-12-25
14051,2022-11-29 04:11:12,heavyVsRef,434.7,434.4,41.276,41.277,39.697,76.866,,-171.7,5.4,0.3,2022-11-19 to 2022-12-25
14096,2022-12-07 01:47:22,heavyVsRef,434.4,435.3,41.284,41.286,39.694,76.861,,-171.9,7.2,-0.9,2022-11-19 to 2022-12-25
14099,2022-12-08 00:05:50,heavyVsRef,435.4,436.2,41.234,41.236,39.694,76.816,,-150.0,5.1,-0.8,2022-11-19 to 2022-12-25
14101,2022-12-08 05:29:29,heavyVsRef,435.6,436.3,41.251,41.256,39.696,76.82,,-150.5,4.9,-0.7,2022-11-19 to 2022-12-25
14103,2022-12-08 10:53:42,heavyVsRef,434.8,435.7,41.257,41.258,39.698,76.824,,-150.2,7.4,-0.9,2022-11-19 to 2022-12-25
14106,2022-12-08 18:16:51,heavyVsRef,435.2,436.2,41.23,41.232,39.684,76.805,,-154.5,2.3,-1.0,2022-11-19 to 2022-12-25
14108,2022-12-08 23:42:10,heavyVsRef,435.0,435.8,41.261,41.262,39.695,76.819,,-151.0,3.0,-0.8,2022-11-19 to 2022-12-25
14110,2022-12-09 05:05:14,heavyVsRef,435.1,436.0,41.254,41.256,39.687,76.835,,-166.4,3.5,-0.9,2022-11-19 to 2022-12-25
14054,2022-11-29 19:09:37,DH11,433.7,434.0,41.405,41.413,12.778,24.585,,-126.7,6.0,-0.3,2022-11-19 to 2022-12-25
14055,2022-11-29 21:50:38,DH11,433.5,433.6,41.444,41.463,12.88,24.78,,-126.8,6.3,-0.1,2022-11-19 to 2022-12-25
14062,2022-12-01 05:47:58,SK-SA5,433.1,433.4,41.436,41.437,19.73,37.978,0.007,-143.4,4.9,-0.3,2022-11-19 to 2022-12-25
14063,2022-12-01 08:27:24,SK-SA5,432.6,431.6,41.516,41.522,19.74,38.012,0.009,-150.0,8.0,1.0,2022-11-19 to 2022-12-25
14078,2022-12-03 06:36:47,SK-Q43,433.0,433.2,41.495,41.507,19.971,38.424,0.007,-133.4,8.5,-0.2,2022-11-19 to 2022-12-25
14079,2022-12-03 09:18:48,SK-Q43,432.7,432.7,41.55,41.565,20.024,38.558,0.005,-149.6,4.0,0.0,2022-11-19 to 2022-12-25
14080,2022-12-03 11:56:56,SK-Q43,432.6,432.6,41.552,41.56,20.08,38.648,0.006,-140.6,5.8,0.0,2022-11-19 to 2022-12-25
14087,2022-12-04 11:56:17,SK-PL7,435.9,436.0,41.195,41.196,20.141,38.783,0.009,-149.1,8.2,-0.1,2022-11-19 to 2022-12-25
14088,2022-12-04 14:34:22,SK-PL7,435.4,435.5,41.187,41.188,20.165,38.818,0.006,-143.8,3.5,-0.1,2022-11-19 to 2022-12-25
14089,2022-12-04 17:10:11,SK-PL7,435.6,435.7,41.224,41.226,20.156,38.799,0.009,-143.1,6.0,-0.1,2022-11-19 to 2022-12-25
14056,2022-11-30 00:36:51,SK-LostCity,433.3,433.6,41.461,41.479,23.067,44.425,0.007,-145.0,10.3,-0.3,2022-11-19 to 2022-12-25
14057,2022-11-30 03:18:22,SK-LostCity,433.0,433.0,41.509,41.52,23.069,44.447,0.004,-154.6,3.0,0.0,2022-11-19 to 2022-12-25
14058,2022-11-30 18:52:30,SK-GeoB,432.5,432.9,41.548,41.572,22.569,43.48,0.008,-154.2,8.9,-0.4,2022-11-19 to 2022-12-25
14059,2022-11-30 21:34:21,SK-GeoB,431.4,432.0,41.641,41.629,22.511,43.395,0.009,-168.5,1.0,-0.6,2022-11-19 to 2022-12-25
14090,2022-12-04 19:53:41,SK-DS3,435.4,435.3,41.207,41.208,19.539,37.636,0.006,-156.4,4.3,0.1,2022-11-19 to 2022-12-25
14091,2022-12-04 22:32:11,SK-DS3,435.3,435.5,41.256,41.258,19.564,37.675,0.007,-151.3,7.2,-0.2,2022-11-19 to 2022-12-25
14092,2022-12-05 01:11:44,SK-DS3,435.2,435.2,41.23,41.231,19.58,37.674,0.006,-135.4,5.5,0.0,2022-11-19 to 2022-12-25
14053,2022-11-29 16:25:15,SK-A6,433.7,433.8,41.392,41.399,20.233,38.948,0.011,-143.0,6.6,-0.1,2022-11-19 to 2022-12-25
14084,2022-12-04 03:53:39,SK-A6,435.9,436.2,41.144,41.146,20.125,38.731,0.005,-138.2,5.9,-0.3,2022-11-19 to 2022-12-25
14085,2022-12-04 06:31:21,SK-A6,435.8,435.9,41.195,41.197,20.1,38.693,0.007,-143.8,8.5,-0.1,2022-11-19 to 2022-12-25
14086,2022-12-04 09:09:00,SK-A6,435.7,435.8,41.2,41.201,20.077,38.665,0.005,-152.5,4.7,-0.1,2022-11-19 to 2022-12-25
14064,2022-12-01 12:24:17,SK-A4,432.6,432.8,41.483,41.483,19.776,38.04,0.004,-129.8,5.4,-0.2,2022-11-19 to 2022-12-25
14065,2022-12-01 15:05:27,SK-A4,432.9,433.2,41.523,41.526,19.904,38.298,0.004,-135.4,6.2,-0.3,2022-11-19 to 2022-12-25
14075,2022-12-02 22:30:18,SK-07,432.8,433.2,41.559,41.55,21.733,41.874,0.006,-158.8,6.5,-0.4,2022-11-19 to 2022-12-25
14076,2022-12-03 01:11:04,SK-07,433.1,433.2,41.478,41.481,21.808,42.015,0.008,-156.6,3.2,-0.1,2022-11-19 to 2022-12-25
14077,2022-12-03 03:52:13,SK-07,432.9,433.0,41.497,41.514,21.838,42.082,0.004,-161.7,3.7,-0.1,2022-11-19 to 2022-12-25
14066,2022-12-01 18:22:42,SK-06,432.7,433.0,41.482,41.484,22.844,44.023,0.005,-159.9,5.2,-0.3,2022-11-19 to 2022-12-25
14067,2022-12-01 21:04:39,SK-06,432.4,432.6,41.515,41.522,22.862,44.048,0.006,-155.7,9.2,-0.2,2022-11-19 to 2022-12-25
14072,2022-12-02 14:24:32,SK-05,433.7,433.8,41.452,41.469,21.823,42.041,0.005,-155.9,5.7,-0.1,2022-11-19 to 2022-12-25
14073,2022-12-02 17:04:10,SK-05,433.5,433.5,41.478,41.497,21.849,42.085,0.003,-152.4,3.0,0.0,2022-11-19 to 2022-12-25
14074,2022-12-02 19:46:09,SK-05,432.8,432.9,41.559,41.565,21.865,42.111,0.006,-150.1,6.4,-0.1,2022-11-19 to 2022-12-25
14070,2022-12-02 05:15:17,NBS19,432.9,433.1,41.562,41.551,20.442,39.361,,-148.4,5.0,-0.2,2022-11-19 to 2022-12-25
14071,2022-12-02 07:56:54,NBS19,433.0,433.1,41.496,41.5,20.49,39.447,,-144.5,7.7,-0.1,2022-11-19 to 2022-12-25
14060,2022-12-01 00:20:30,NBS18,433.2,433.6,41.437,41.439,9.552,18.459,,-151.0,10.0,-0.4,2022-11-19 to 2022-12-25
14061,2022-12-01 03:02:23,NBS18,432.9,433.1,41.449,41.449,9.662,18.689,,-161.1,8.1,-0.2,2022-11-19 to 2022-12-25
14081,2022-12-03 19:45:06,NBS18,433.3,433.4,41.5,41.515,9.734,18.817,,-156.2,5.4,-0.1,2022-11-19 to 2022-12-25
14082,2022-12-03 22:23:16,NBS18,432.7,432.9,41.551,41.568,9.767,18.885,,-158.7,3.8,-0.2,2022-11-19 to 2022-12-25
14083,2022-12-04 01:01:23,NBS18,432.3,432.6,41.603,41.584,9.833,18.99,,-147.3,6.4,-0.3,2022-11-19 to 2022-12-25
15272,2023-05-28 08:56:38,lightVsRef,417.3,417.8,41.858,41.857,-0.617,-0.753,0.011,-219.1,4.8,-0.5,2023-05-24 to 2023-06-13
15274,2023-05-28 14:42:47,lightVsRef,417.3,417.6,41.878,41.877,-0.591,-0.703,0.015,-219.9,3.1,-0.3,2023-05-24 to 2023-06-13
15276,2023-05-28 20:27:13,lightVsRef,417.4,417.6,41.895,41.895,-0.609,-0.734,0.01,-221.4,3.2,-0.2,2023-05-24 to 2023-06-13
15278,2023-05-29 02:10:19,lightVsRef,417.4,417.6,41.918,41.92,-0.602,-0.717,0.005,-223.0,3.3,-0.2,2023-05-24 to 2023-06-13
15296,2023-06-01 14:26:37,lightVsRef,416.9,416.8,42.004,42.003,-0.597,-0.687,0.031,-234.3,3.7,0.1,2023-05-24 to 2023-06-13
15304,2023-06-01 22:19:11,lightVsRef,416.8,416.8,42.026,42.026,-0.609,-0.728,0.02,-224.6,4.0,0.0,2023-05-24 to 2023-06-13
15306,2023-06-02 04:14:54,lightVsRef,416.3,416.1,42.113,42.113,-0.611,-0.736,0.031,-222.9,3.0,0.2,2023-05-24 to 2023-06-13
15309,2023-06-02 10:14:57,lightVsRef,416.1,416.0,42.14,42.14,-0.599,-0.716,0.012,-220.9,2.9,0.1,2023-05-24 to 2023-06-13
15326,2023-06-04 00:41:15,lightVsRef,416.7,416.6,42.136,42.136,-0.593,-0.705,0.01,-221.2,3.0,0.1,2023-05-24 to 2023-06-13
15330,2023-06-04 12:35:54,lightVsRef,417.6,418.0,41.905,41.905,-0.59,-0.713,0.011,-213.5,2.3,-0.4,2023-05-24 to 2023-06-13
15332,2023-06-04 18:19:25,lightVsRef,417.8,418.1,41.939,41.939,-0.603,-0.735,0.011,-215.3,2.7,-0.3,2023-05-24 to 2023-06-13
15334,2023-06-04 23:59:38,lightVsRef,417.6,417.8,41.98,41.982,-0.599,-0.721,0.01,-218.2,3.2,-0.2,2023-05-24 to 2023-06-13
15336,2023-06-05 05:46:00,lightVsRef,417.3,417.6,41.96,41.962,-0.613,-0.736,0.017,-224.8,2.6,-0.3,2023-05-24 to 2023-06-13
15384,2023-06-09 14:57:24,lightVsRef,417.7,417.6,41.885,41.885,-0.591,-0.704,0.021,-219.9,11.8,0.1,2023-05-24 to 2023-06-13
15386,2023-06-09 20:32:46,lightVsRef,418.0,418.0,41.91,41.911,-0.599,-0.695,0.023,-232.0,12.7,0.0,2023-05-24 to 2023-06-13
15402,2023-06-11 07:00:38,lightVsRef,418.0,418.0,41.912,41.913,-0.59,-0.715,0.011,-212.7,2.1,0.0,2023-05-24 to 2023-06-13
15405,2023-06-11 12:42:08,lightVsRef,417.9,417.9,41.971,41.973,-0.599,-0.712,0.018,-223.7,5.2,0.0,2023-05-24 to 2023-06-13
15409,2023-06-11 18:18:41,lightVsRef,418.6,418.6,41.894,41.894,-0.598,-0.707,0.013,-224.7,3.3,0.0,2023-05-24 to 2023-06-13
15273,2023-05-28 11:49:18,heavyVsRef,417.3,417.2,41.911,41.912,39.691,76.788,0.026,-139.6,4.3,0.1,2023-05-24 to 2023-06-13
15275,2023-05-28 17:36:31,heavyVsRef,417.3,416.9,41.905,41.905,39.687,76.799,0.024,-148.8,4.7,0.4,2023-05-24 to 2023-06-13
15277,2023-05-28 23:19:12,heavyVsRef,417.3,417.0,41.911,41.912,39.692,76.768,0.009,-128.4,4.3,0.3,2023-05-24 to 2023-06-13
15297,2023-06-01 17:21:57,heavyVsRef,416.8,416.6,42.066,42.066,39.67,76.745,0.02,-138.6,6.8,0.2,2023-05-24 to 2023-06-13
15305,2023-06-02 01:15:39,heavyVsRef,416.4,415.6,42.118,42.117,39.673,76.75,0.017,-138.0,7.1,0.8,2023-05-24 to 2023-06-13
15308,2023-06-02 07:16:32,heavyVsRef,416.1,415.3,42.195,42.194,39.681,76.796,0.058,-152.4,8.2,0.8,2023-05-24 to 2023-06-13
15327,2023-06-04 03:42:22,heavyVsRef,416.3,415.4,42.189,42.19,39.666,76.775,0.007,-157.3,4.0,0.9,2023-05-24 to 2023-06-13
15329,2023-06-04 09:44:19,heavyVsRef,417.5,417.5,41.899,41.899,39.674,76.784,0.008,-153.6,2.8,0.0,2023-05-24 to 2023-06-13
15331,2023-06-04 15:28:04,heavyVsRef,417.5,417.2,41.927,41.928,39.677,76.77,0.021,-144.0,7.1,0.3,2023-05-24 to 2023-06-13
15333,2023-06-04 21:08:38,heavyVsRef,417.7,417.7,41.949,41.95,39.689,76.795,0.03,-144.3,3.8,0.0,2023-05-24 to 2023-06-13
15335,2023-06-05 02:52:41,heavyVsRef,417.5,417.2,41.95,41.951,39.682,76.797,0.025,-151.8,3.3,0.3,2023-05-24 to 2023-06-13
15385,2023-06-09 17:46:06,heavyVsRef,417.7,417.3,41.926,41.927,39.675,76.756,0.019,-138.8,10.4,0.4,2023-05-24 to 2023-06-13
15387,2023-06-09 23:19:25,heavyVsRef,417.7,417.2,41.971,41.974,39.674,76.751,0.01,-137.6,5.3,0.5,2023-05-24 to 2023-06-13
15404,2023-06-11 09:51:52,heavyVsRef,417.8,417.4,41.928,41.929,39.677,76.773,0.023,-145.5,4.8,0.4,2023-05-24 to 2023-06-13
15408,2023-06-11 15:30:40,heavyVsRef,418.2,417.5,41.925,41.926,39.676,76.766,0.013,-142.5,6.1,0.7,2023-05-24 to 2023-06-13
15414,2023-06-11 21:02:17,heavyVsRef,419.0,418.2,41.872,41.872,39.676,76.796,0.035,-158.2,10.6,0.8,2023-05-24 to 2023-06-13
15370,2023-06-08 00:14:21,SK-SV42,416.7,416.4,42.026,42.024,22.871,44.066,0.007,-155.2,5.6,0.3,2023-05-24 to 2023-06-13
15371,2023-06-08 03:04:41,SK-SV42,416.4,416.1,42.032,42.03,22.862,44.071,0.008,-166.2,8.6,0.3,2023-05-24 to 2023-06-13
15321,2023-06-03 04:53:28,SK-SA5,415.5,415.3,42.264,42.264,19.835,38.191,0.025,-148.4,8.5,0.2,2023-05-24 to 2023-06-13
15322,2023-06-03 07:48:12,SK-SA5,415.6,415.4,42.272,42.27,19.867,38.245,0.022,-144.2,4.0,0.2,2023-05-24 to 2023-06-13
15289,2023-05-31 17:47:24,SK-Q43,417.1,417.6,41.943,41.943,20.043,38.558,0.024,-131.0,5.3,-0.5,2023-05-24 to 2023-06-13
15290,2023-05-31 20:34:31,SK-Q43,417.3,417.6,41.981,41.982,20.092,38.69,0.023,-150.0,8.9,-0.3,2023-05-24 to 2023-06-13
15355,2023-06-07 02:22:02,SK-Q43,416.2,416.0,42.049,42.049,20.068,38.616,0.007,-136.0,2.4,0.2,2023-05-24 to 2023-06-13
15360,2023-06-07 05:18:21,SK-Q43,416.4,416.0,42.084,42.083,20.117,38.722,0.005,-141.7,5.5,0.4,2023-05-24 to 2023-06-13
15294,2023-06-01 08:26:22,SK-PL7,416.5,416.5,42.068,42.067,20.184,38.871,0.011,-152.1,3.0,0.0,2023-05-24 to 2023-06-13
15295,2023-06-01 11:20:17,SK-PL7,416.9,416.5,42.034,42.031,20.261,39.008,0.012,-146.2,3.6,0.4,2023-05-24 to 2023-06-13
15314,2023-06-02 16:55:54,SK-PL7,415.8,415.4,42.204,42.203,20.274,39.034,0.038,-147.3,7.8,0.4,2023-05-24 to 2023-06-13
